Cheval_clean;Poids_groupe;Cheval;Valeur_poids;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
ACAPULCOBAY;620;ACAPULCO BAY;620;1;0;0;13.0;0.0;0.0
ACARY;570;ACARY;570;2;0;0;9.5;0.0;0.0
ACARY;580;ACARY;580;2;1;1;2.5;50.0;50.0
ACATANA;540;ACATANA;540;1;0;1;2.0;0.0;100.0
ACATANA;594;ACATANA;594;1;0;0;7.0;0.0;0.0
ACCELERANDO;554;ACCELERANDO;554;2;0;0;9.0;0.0;0.0
ACCELERATEME;540;ACCELERATE ME;540;1;0;0;7.0;0.0;0.0
ACCENT;544;ACCENT;544;1;0;0;5.0;0.0;0.0
ACCENT;570;ACCENT;570;1;0;1;2.0;0.0;100.0
ACCEPTANCE;560;ACCEPTANCE;560;1;0;0;7.0;0.0;0.0
ACCEPTANCE;564;ACCEPTANCE;564;3;0;0;10.0;0.0;0.0
ACCEPTANCE;580;ACCEPTANCE;580;1;0;0;4.0;0.0;0.0
ACCLAIMEDFREEDOM;594;ACCLAIMED FREEDOM;594;1;0;1;2.0;0.0;100.0
ACCLAIMEDFREEDOM;610;ACCLAIMED FREEDOM;610;1;0;0;8.0;0.0;0.0
ACCLAM;544;ACCLAM;544;1;0;0;7.0;0.0;0.0
ACCLAM;560;ACCLAM;560;1;0;0;9.0;0.0;0.0
ACCLAM;574;ACCLAM;574;3;0;0;6.666666666666667;0.0;0.0
ACCLAM;590;ACCLAM;590;2;0;0;7.0;0.0;0.0
ACCLAM;594;ACCLAM;594;2;0;0;13.5;0.0;0.0
ACCLAM;600;ACCLAM;600;3;0;1;8.0;0.0;33.3
ACCLAMATIONSTAR;580;ACCLAMATION STAR;580;2;0;0;8.0;0.0;0.0
ACCREDIT;594;ACCREDIT;594;1;0;0;0.0;0.0;0.0
ACCREDITED;564;ACCREDITED;564;1;0;0;0.0;0.0;0.0
ACE;540;ACE;540;1;0;0;4.0;0.0;0.0
ACE;554;ACE;554;2;0;0;7.0;0.0;0.0
ACE;564;ACE;564;2;0;0;5.5;0.0;0.0
ACE;574;ACE;574;1;0;0;4.0;0.0;0.0
ACECHAMPION;534;ACE CHAMPION;534;1;0;0;6.0;0.0;0.0
ACECHAMPION;540;ACE CHAMPION;540;1;0;0;6.0;0.0;0.0
ACECHAMPION;544;ACE CHAMPION;544;2;0;2;2.5;0.0;100.0
ACECHAMPION;550;ACE CHAMPION;550;2;0;0;9.0;0.0;0.0
ACEEAGLE;574;ACE EAGLE;574;1;0;1;2.0;0.0;100.0
ACEFROMSPACE;554;ACE FROM SPACE;554;1;0;0;6.0;0.0;0.0
ACEJACKDEUCE;554;ACE JACK DEUCE;554;1;0;1;3.0;0.0;100.0
ACENTOFINAL;600;ACENTO FINAL;600;1;0;0;8.0;0.0;0.0
ACEOFSPADES;620;ACE OF SPADES;620;1;0;0;7.0;0.0;0.0
ACEPOWER;550;ACE POWER;550;1;0;0;10.0;0.0;0.0
ACEPOWER;554;ACE POWER;554;1;0;0;8.0;0.0;0.0
ACEPOWER;564;ACE POWER;564;2;0;0;6.0;0.0;0.0
ACEPOWER;574;ACE POWER;574;1;0;0;5.0;0.0;0.0
ACEPOWER;584;ACE POWER;584;1;0;1;3.0;0.0;100.0
ACEROCAT;570;ACERO CAT;570;1;0;0;6.0;0.0;0.0
ACEROSOFISTICADO;570;ACERO SOFISTICADO;570;1;0;0;10.0;0.0;0.0
ACEVENTURA;554;ACE VENTURA;554;1;0;1;2.0;0.0;100.0
ACEWAR;530;ACE WAR;530;1;0;1;2.0;0.0;100.0
ACEWAR;534;ACE WAR;534;1;0;1;2.0;0.0;100.0
ACEWAR;544;ACE WAR;544;1;0;1;3.0;0.0;100.0
ACEWAR;550;ACE WAR;550;1;1;1;1.0;100.0;100.0
ACEWAR;560;ACE WAR;560;1;0;1;3.0;0.0;100.0
ACEWAR;584;ACE WAR;584;1;1;1;1.0;100.0;100.0
ACHALUGO;620;ACHALUGO;620;1;0;0;6.0;0.0;0.0
ACHAPLINA;540;ACHAPLINA;540;1;0;0;11.0;0.0;0.0
ACHAPLINA;560;ACHAPLINA;560;1;0;0;8.0;0.0;0.0
ACHERON;554;ACHERON;554;1;0;1;3.0;0.0;100.0
ACHERON;560;ACHERON;560;1;0;1;3.0;0.0;100.0
ACHIEVE;570;ACHIEVE;570;1;1;1;1.0;100.0;100.0
ACHILEACHOPE;544;ACHILEA CHOPE;544;1;0;0;10.0;0.0;0.0
ACHILEACHOPE;550;ACHILEA CHOPE;550;1;0;0;12.0;0.0;0.0
ACHILEACHOPE;560;ACHILEA CHOPE;560;1;0;0;11.0;0.0;0.0
ACHISPADA;550;ACHISPADA;550;1;0;0;11.0;0.0;0.0
ACHRAFZEMMOUR;580;ACHRAF ZEMMOUR;580;1;0;0;5.0;0.0;0.0
ACHTER;550;ACHTER;550;1;0;0;10.0;0.0;0.0
ACIREALE;560;ACIREALE;560;3;0;2;2.6666666666666665;0.0;66.7
ACLIS;550;ACLIS;550;1;0;1;2.0;0.0;100.0
ACLIS;560;ACLIS;560;1;0;0;9.0;0.0;0.0
ACLIS;570;ACLIS;570;4;0;1;8.25;0.0;25.0
ACME;544;ACME;544;1;0;0;7.0;0.0;0.0
ACME;564;ACME;564;2;0;0;10.0;0.0;0.0
ACME;580;ACME;580;1;0;0;14.0;0.0;0.0
ACOSTADETODO;560;A COSTA DE TODO;560;2;2;2;1.0;100.0;100.0
ACOTANGO;560;ACOTANGO;560;1;0;1;2.0;0.0;100.0
ACOTANGO;570;ACOTANGO;570;1;0;0;6.0;0.0;0.0
ACOTANGO;574;ACOTANGO;574;1;1;1;1.0;100.0;100.0
ACOTANGO;590;ACOTANGO;590;2;0;0;6.0;0.0;0.0
ACOTANGO;600;ACOTANGO;600;3;1;3;1.6666666666666667;33.3;100.0
ACOTANGO;630;ACOTANGO;630;1;1;1;1.0;100.0;100.0
ACOUNTACH;560;A COUNTACH;560;1;0;0;12.0;0.0;0.0
ACOUNTACH;570;A COUNTACH;570;1;0;1;3.0;0.0;100.0
ACOUNTACH;594;A COUNTACH;594;1;0;0;0.0;0.0;0.0
ACOUNTACH;624;A COUNTACH;624;2;0;0;9.0;0.0;0.0
ACOUNTACH;630;A COUNTACH;630;1;0;0;0.0;0.0;0.0
ACOUSTICAVE;544;ACOUSTIC AVE;544;2;0;0;2.5;0.0;0.0
ACQUAROSA;564;ACQUA ROSA;564;2;0;0;7.0;0.0;0.0
